Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2000,Janeiro,RS,23706984.0,17019.0,15940060.0,13444334.0,479,12988034,50885273,7983115,2110667,113868661,68118112,46861858,3784824,8564748,5355726,2727118,0.0,31927953,200556246,,,45417354,,,50752151,,,,,23328593,,2166383,,,,,1003974,,,,,
2000,Fevereiro,RS,21716807.0,12491.0,20056271.0,8848041.0,0,13330148,54949401,6769975,4779231,35805521,60489547,14297647,5632584,8851367,4871468,181579,0.0,28033133,179886737,,,38754224,,,22223026,,,,,9998124,,2599814,,,,,795129,,,,,
2000,Março,RS,23656856.0,10533.0,19086716.0,6191020.0,1085235,17221780,52196987,8256411,11255969,54389050,68104838,16168274,3579781,10907216,4698081,176259,0.0,33857557,176887012,,,36843810,,,27924731,,,,,17204846,,1675143,,,,,909771,,,,,
2000,Abril,RS,20469201.0,4834.0,24970501.0,10272176.0,684495,14204307,62034677,64326417,4004415,81074858,57585927,20264736,3758718,11617853,5216820,246327,0.0,29347603,186774504,,,39282134,,,51537128,,,,,14216000,,1914155,,,,,860668,,,,,
2000,Maio,RS,32480839.0,8719.0,16983511.0,9605892.0,269367,20414291,55151872,31223450,5047664,49018142,67901519,15886495,3038146,9994076,5783676,422770,0.0,36207415,187391980,,,39963305,,,30507496,,,,,14230208,,1913846,,,,,2243594,,,,,
2000,Junho,RS,27524502.0,4951.0,20278777.0,9880125.0,3372,17440349,60027920,27007376,4231000,48476096,64353221,13916970,4620017,10695073,5505264,1590246,0.0,27788637,219283535,,,44917615,,,28959940,,,,,12745462,,1896268,,,,,1268635,,,,,
2000,Julho,RS,30533664.0,5863.0,19299339.0,9718699.0,1050,18421398,60798597,24729072,2261189,89152541,50931964,28956321,5419479,11643118,5252723,587206,0.0,23438233,193301911,,,41031958,,,71532157,,,,,15655217,,3824271,,,,,2924098,,,,,
2000,Agosto,RS,36369075.0,5649.0,19153323.0,8473164.0,456176,20617543,61470221,23689428,2035279,49817602,57416753,19790960,7361794,11973758,6375914,697922,0.0,27308547,193464844,,,41852421,,,31046559,,,,,16340522,,8564644,,,,,1934157,,,,,
2000,Setembro,RS,32663108.0,4095.0,24728753.0,10724376.0,1415510,19196943,61681980,29848048,4341558,53505924,48693899,13342006,3240697,10392784,4751951,11473024,0.0,21627725,214520921,,,44463954,,,37923833,,,,,17331392,,7134448,,,,,1203382,,,,,
2000,Outubro,RS,41621006.0,39218.0,19674950.0,13180296.0,7107159,27854388,56386605,10281472,5346044,79511032,54423889,19500903,4064471,11332632,4795641,3212651,0.0,28609581,198428728,,,44292568,,,51251270,,,,,15834866,,7121149,,,,,1275659,,,,,
2000,Novembro,RS,33057170.0,12984.0,21168099.0,11713696.0,3478037,21190102,51703396,29484255,5341530,44348722,63534488,13716990,2633109,12417199,6333239,2324294,0.0,29371272,215448130,,,45354449,,,35944172,,,,,18961685,,8476807,,,,,1187932,,,,,
2000,Dezembro,RS,27589876.0,200439.0,27811229.0,16821154.0,9565529,18290602,58384152,9933608,3764224,44256185,100268315,16171730,8671440,15656747,4830008,2091402,0.0,26023906,222287531,,,47937478,,,29944660,,,,,26720558,,8706963,,,,,1158461,,,,,
2001,Janeiro,RS,30203993.0,819492.0,16910824.0,13406051.0,"7,449,700","17,827,072","40,803,389","9,186,808","7,449,421","108,308,422","68,332,213","43,630,485","3,950,336","10,357,734","4,971,650","621,061",0.0,"30,253,607","226,095,244",,,"48,165,915",,,"56,817,743",,,,,"17,750,395",,"5,126,056",,,,,"2,356,503",,,,,
2001,Fevereiro,RS,21951148.0,730197.0,23229065.0,14800517.0,"8,912,727","14,374,769","45,600,792","8,088,853","2,364,224","39,827,984","53,372,460","11,312,482","2,372,373","10,398,657","4,069,074","272,06",0.0,"17,694,756","218,209,332",,,"47,514,168",,,"29,764,032",,,,,"11,589,820",,"6,735,582",,,,,"1,206,471",,,,,
2001,Março,RS,36940896.0,918771.0,19281883.0,11635478.0,"9,225,456","26,469,317","39,177,201","9,301,682","9,207,302","57,111,687","68,650,035","13,473,147","7,084,842","15,191,654","5,517,225","362,45",0.0,"28,775,151","203,185,067",,,"44,128,078",,,"35,618,228",,,,,"15,038,647",,"6,976,312",,,,,"3,527,326",,,,,
2001,Abril,RS,32397110.0,1160032.0,19761571.0,12135473.0,"9,843,777","28,126,401","54,036,513","79,480,369","6,213,584","95,050,546","57,555,723","16,445,233","5,514,395","14,996,436","6,030,277","626,978",0.0,"29,431,086","245,698,584",,,"53,465,842",,,"60,182,694",,,,,"18,022,027",,"7,847,755",,,,,"2,249,318",,,,,
2001,Maio,RS,29488977.0,1604251.0,19255182.0,9648112.0,"10,414,494","24,547,213","49,621,742","35,320,635","5,445,326","50,241,902","68,286,810","14,817,464","3,059,865","20,424,146","6,989,553","2,994,822",0.0,"35,826,759","244,383,864",,,"51,568,811",,,"33,986,188",,,,,"9,401,515",,"7,450,224",,,,,"1,905,148",,,,,
2001,Junho,RS,29547874.0,1466544.0,21206783.0,8747245.0,"11,361,614","22,585,008","53,981,789","30,468,431","3,000,890","52,121,174","64,030,240","16,777,758","11,734,451","12,250,621","7,108,627","635,85",0.0,"31,119,111","269,658,699",,,"57,322,067",,,"36,517,209",,,,,"14,618,647",,"8,029,933",,,,,"1,708,147",,,,,
