Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2000,Janeiro,SC,10437923.0,0.0,6511482,5851028,23,5583498,20069652,2565756,365238,33677024,26629264,14441777,761978,2748866,862524,1010070,0.0,7064450,88190893,,,19643361,,,15084755,,,,,14064783,,729076,,,,,296371,,,,,
2000,Fevereiro,SC,14857636.0,4625.0,5271404,5305143,0,8433527,24542123,3424487,165401,19525803,21882186,3260130,924559,3687151,1530751,61873,0.0,6783384,78733552,,,17944982,,,10432983,,,,,5186262,,598704,,,,,362252,,,,,
2000,Março,SC,14547721.0,8100.0,5101687,4353315,0,9390699,21439706,2864244,249048,21798700,24594534,3085095,1467453,3190181,1937593,109960,0.0,9354747,77892352,,,18042158,,,11724788,,,,,7547975,,604458,,,,,368499,,,,,
2000,Abril,SC,13415570.0,4597.0,5276938,4315434,0,8152983,25346482,20562969,163481,36953344,21027265,3324164,845836,2943415,1539581,88335,0.0,9020875,86661696,,,20224818,,,21089501,,,,,6979715,,639629,,,,,1024909,,,,,
2000,Maio,SC,13308720.0,10057.0,4396114,3412824,0,6582295,20440816,9154237,82211,17455256,24444196,3328518,796113,2967118,1735584,50986,0.0,8636787,88248076,,,19968910,,,11439681,,,,,7297216,,612080,,,,,347893,,,,,
2000,Junho,SC,16010501.0,74.0,4917286,3431342,123815,11268557,20203722,7147132,101123,17921700,23236222,4697872,2615570,2600496,1844334,222994,0.0,6723770,88816489,,,20366428,,,16171008,,,,,7327186,,616167,,,,,398679,,,,,
2000,Julho,SC,15133075.0,13771.0,4713348,2632327,0,9379612,18057298,7807435,97607,33912936,19095055,5287442,815509,2653819,3451737,74189,0.0,6206706,86602753,,,19785540,,,22497295,,,,,7359690,,616789,,,,,435712,,,,,
2000,Agosto,SC,16511953.0,13412.0,10198333,2795764,0,12481504,21316741,7305625,121261,19937168,19234744,7309539,1010321,3039728,2195879,122730,0.0,7356157,91771881,,,20604991,,,13864613,,,,,6731699,,335667,,,,,601771,,,,,
2000,Setembro,SC,16808081.0,7722.0,11914272,4425205,852,11810560,22135277,6232228,58568,24786430,17829410,4195012,1242319,3038948,1383160,2916435,0.0,5754193,88494051,,,22308250,,,14857706,,,,,7720982,,186219,,,,,484775,,,,,
2000,Outubro,SC,17323233.0,7103.0,11384424,3921775,836,11342912,24109443,3133749,468450,37883042,18023343,4596102,1182032,2980154,1391180,483784,0.0,8154694,92533337,,,22117484,,,27652472,,,,,7461336,,382884,,,,,499524,,,,,
2000,Novembro,SC,19309605.0,15758.0,11289635,4390004,0,12462688,24104291,2751444,846684,26899984,18203017,4368608,1367659,2860434,1615087,289295,0.0,10614644,93117948,,,23025933,,,18466394,,,,,4824875,,176467,,,,,533496,,,,,
2000,Dezembro,SC,12857235.0,0.0,12049328,6999219,0,6600556,27345233,3254322,414810,23691716,38395757,6753960,2283523,3460406,1470596,592310,0.0,6829194,107085494,,,23568275,,,16271538,,,,,16552980,,166566,,,,,556531,,,,,
2001,Janeiro,SC,12511359.0,56015.0,"13,140,106","6,100,588","510,697","6,474,176","19,682,918","4,532,829","164,509","42,948,824","20,452,548","13,859,456","871,869","3,551,649","1,268,190","133,304",0.0,"6,961,731","112,768,952",,,"27,587,329",,,"27,990,653",,,,,"8,249,980",,"110,531",,,,,"959,064",,,,,
2001,Fevereiro,SC,11339182.0,28835.0,"13,147,252","5,442,679",0,"5,401,803","24,112,843","5,221,072","1,147,080","19,161,492","20,838,638","4,507,975","1,136,962","2,703,383","1,158,669","82,285",0.0,"4,570,075","90,169,903",,,"21,820,080",,,"14,300,459",,,,,"7,033,601",,"163,421",,,,,"537,09",,,,,
2001,Março,SC,14429331.0,10222.0,"10,899,390","4,464,582",0,"7,165,668","21,493,100","2,804,000","2,865,990","21,035,462","22,542,036","3,673,830","1,750,781","3,373,710","1,369,280","93,31",0.0,"6,811,404","89,045,982",,,"21,335,701",,,"13,549,060",,,,,"6,422,889",,"111,288",,,,,"656,986",,,,,
2001,Abril,SC,12483931.0,10404.0,"12,897,056","4,066,042",0,"7,067,857","24,666,371","25,203,471","708,429","35,571,503","20,842,344","4,228,867","1,828,606","2,921,958","1,359,992","141,867",0.0,"6,938,687","103,062,836",,,"24,816,511",,,"27,962,585",,,,,"7,505,809",,"181,147",,,,,"552,874",,,,,
2001,Maio,SC,14014274.0,23129.0,"11,100,149","3,654,905",0,"8,173,094","23,193,778","11,504,396","643,46","25,639,487","23,855,919","5,043,245","1,240,224","3,496,929","1,713,639","314,517",0.0,"8,479,266","96,169,677",,,"24,645,222",,,"20,674,490",,,,,"6,231,127",,"298,714",,,,,"696,393",,,,,
2001,Junho,SC,13927108.0,23964.0,"12,745,289","3,273,570",0,"8,311,357","26,709,741","9,195,357","168,664","30,633,847","21,289,332","4,337,158","1,163,327","2,678,346","1,360,653","137,224",0.0,"7,039,390","104,755,352",,,"23,184,044",,,"22,076,159",,,,,"7,975,085",,"223,543",,,,,"509,876",,,,,
2001,Julho,SC,13359321.0,8058.0,"11,840,396","2,800,225",0,"7,718,110","22,167,089","9,149,993","944,426","42,873,339","29,035,407","10,259,052","929,325","3,490,381","1,430,987","147,329",0.0,"7,187,861","124,788,103",,,"22,975,069",,,"29,199,770",,,,,"8,006,930",,"210,807",,,,,"811,743",,,,,
2001,Agosto,SC,16893457.0,53795.0,"11,771,834","2,628,821",0,"9,616,904","24,521,525","8,443,564","824,803","35,907,344","24,375,452","11,230,037","2,118,282","3,510,708","1,585,021","231,164",0.0,"8,134,575","91,640,595",,,"21,692,766",,,"21,348,428",,,,,"7,469,835",,"311,154",,,,,"624,68",,,,,
2001,Setembro,SC,10589668.0,42.19,"13,038,689","3,126,888",0,"6,429,118","23,546,252","7,444,509","1,174,005","36,521,114","20,684,769","5,443,932","1,425,893","3,608,451","1,350,539","3,102,070",0.0,"6,700,192","102,970,107",,,"20,578,342",,,"21,534,097",,,,,"4,769,502",,"198,467",,,,,"522,637",,,,,
